Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Electronic Box Temperature,220,0.13155247,0.5120033855495757,0.9999999999999999,IBS_N
In Board Sensor Temperature,220,0.03043412,0.11844986624897313,0.9999999999999999,IBS_N
time_since_T_high,220,0.053491004,0.20818746424484386,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,220,0.013947018,0.05428191834270289,0.9999999999999999,IBS_N
High Gain Antenna elevation,220,0.027512107,0.10707736561390432,0.9999999999999999,IBS_N
Electronic Box Temperature,230,0.13242023,0.5818185993023189,1.0,IBS_N
time_since_T_high,230,0.054488003,0.23940551669665996,1.0,IBS_N
Search Coil Magnetometer Temperature,230,0.012071706,0.05303980423617599,1.0,IBS_N
High Gain Antenna elevation,230,0.028617168,0.12573607976484516,1.0,IBS_N
Electronic Box Temperature,240,0.13718498,0.6155777103534703,1.0,IBS_N
time_since_T_high,240,0.049592935,0.22253387635445568,1.0,IBS_N
Search Coil Magnetometer Temperature,240,0.010691973,0.04797712007904309,1.0,IBS_N
High Gain Antenna elevation,240,0.025385777,0.11391129321303096,1.0,IBS_N
Electronic Box Temperature,250,0.1339259,0.5216726587823399,0.9999999999999999,IBS_N
In Board Sensor Temperature,250,0.03469352,0.1351393630426847,0.9999999999999999,IBS_N
time_since_T_high,250,0.06600148,0.2570911791906527,0.9999999999999999,IBS_N
High Gain Antenna elevation,250,0.022103116,0.08609679898432253,0.9999999999999999,IBS_N
Electronic Box Temperature,260,0.13475184,0.5569122906322516,1.0,IBS_N
In Board Sensor Temperature,260,0.031242223,0.12912015134912896,1.0,IBS_N
time_since_T_high,260,0.051070787,0.21106909540205024,1.0,IBS_N
High Gain Antenna elevation,260,0.02489756,0.10289846261656924,1.0,IBS_N
Radial Distance from Sun,270,0.037052877,0.13853467374035716,1.0,IBS_N
Electronic Box Temperature,270,0.1322993,0.4946455402525865,1.0,IBS_N
In Board Sensor Temperature,270,0.032850206,0.12282157119711712,1.0,IBS_N
time_since_T_high,270,0.042109415,0.15744024596045003,1.0,IBS_N
High Gain Antenna elevation,270,0.02315104,0.0865579688494893,1.0,IBS_N
Electronic Box Temperature,280,0.13450894,0.6011426421326076,1.0,IBS_N
time_since_T_high,280,0.050661128,0.22641293834698445,1.0,IBS_N
Search Coil Magnetometer Temperature,280,0.013522875,0.06043595917660928,1.0,IBS_N
High Gain Antenna elevation,280,0.025062503,0.11200846034379876,1.0,IBS_N
Electronic Box Temperature,290,0.12835163,0.5407973293217903,1.0,IBS_N
In Board Sensor Temperature,290,0.030061545,0.12666144755066078,1.0,IBS_N
time_since_T_high,290,0.0547034,0.23048754912439853,1.0,IBS_N
High Gain Antenna elevation,290,0.024221191,0.10205367400315044,1.0,IBS_N
Electronic Box Temperature,300,0.12500161,0.521359822203075,1.0,IBS_N
In Board Sensor Temperature,300,0.031633284,0.1319368872284075,1.0,IBS_N
time_since_T_high,300,0.057935033,0.24163687575071457,1.0,IBS_N
High Gain Antenna elevation,300,0.0251908,0.1050664148178029,1.0,IBS_N
Electronic Box Temperature,310,0.1263868,0.5453276760608594,1.0,IBS_N
In Board Sensor Temperature,310,0.029175999,0.1258871949556754,1.0,IBS_N
time_since_T_high,310,0.0485451,0.2094600588601185,1.0,IBS_N
High Gain Antenna elevation,310,0.027655141,0.11932507012334667,1.0,IBS_N
Electronic Box Temperature,320,0.120825075,0.5302888980523222,1.0,IBS_N
In Board Sensor Temperature,320,0.03334658,0.1463547294467941,1.0,IBS_N
time_since_T_high,320,0.05032409,0.22086728463926783,1.0,IBS_N
High Gain Antenna elevation,320,0.023351897,0.10248908786161587,1.0,IBS_N
Electronic Box Temperature,330,0.11942852,0.5190496832230037,1.0,IBS_N
In Board Sensor Temperature,330,0.02988456,0.1298816346485651,1.0,IBS_N
time_since_T_high,330,0.051708177,0.22472951094000837,1.0,IBS_N
High Gain Antenna elevation,330,0.029069472,0.1263391711884228,1.0,IBS_N
Radial Distance from Sun,340,0.03928271,0.1510872002965874,1.0,IBS_N
Electronic Box Temperature,340,0.12124608,0.4663306267346642,1.0,IBS_N
In Board Sensor Temperature,340,0.03199426,0.12305472735870548,1.0,IBS_N
time_since_T_high,340,0.040021975,0.1539305244747629,1.0,IBS_N
High Gain Antenna elevation,340,0.027455226,0.10559692113527998,1.0,IBS_N
Radial Distance from Sun,350,0.036243424,0.13626646817756316,1.0,IBS_N
Electronic Box Temperature,350,0.12620725,0.47450859543245016,1.0,IBS_N
In Board Sensor Temperature,350,0.036216162,0.13616396968140956,1.0,IBS_N
time_since_T_high,350,0.043058183,0.16188830623599995,1.0,IBS_N
High Gain Antenna elevation,350,0.024249615,0.09117266047257724,1.0,IBS_N
Electronic Box Temperature,360,0.12048925,0.5172941718585669,1.0,IBS_N
