Feature,Duration,SHAP_value,Type
High Gain Antenna Elevation,180,0.14498243,IBS_N
Radial Distance from Sun,190,0.044086374,IBS_N
Electronic Box Temperature,190,0.27359644,IBS_N
Out Board Sensor Temperature,190,0.046137605,IBS_N
In Board Sensor Temperature,190,0.0214797,IBS_N
Out Board Sensor minus In Board Sensor Temp.,190,0.10575698,IBS_N
Heater Dutycycle,190,0.024013847,IBS_N
Search Coil Magnetometer's Temperature,190,0.073081106,IBS_N
High Gain Antenna Azimuth,190,0.2627329,IBS_N
High Gain Antenna Elevation,190,0.122706205,IBS_N
Radial Distance from Sun,200,0.04480263,IBS_N
Electronic Box Temperature,200,0.24859928,IBS_N
Out Board Sensor Temperature,200,0.054956086,IBS_N
In Board Sensor Temperature,200,0.017962959,IBS_N
Out Board Sensor minus In Board Sensor Temp.,200,0.11610237,IBS_N
Heater Dutycycle,200,0.02697526,IBS_N
Search Coil Magnetometer's Temperature,200,0.076147296,IBS_N
High Gain Antenna Azimuth,200,0.27056566,IBS_N
High Gain Antenna Elevation,200,0.121258855,IBS_N
Radial Distance from Sun,210,0.04774203,IBS_N
Electronic Box Temperature,210,0.23698868,IBS_N
Out Board Sensor Temperature,210,0.041344903,IBS_N
In Board Sensor Temperature,210,0.02311779,IBS_N
Out Board Sensor minus In Board Sensor Temp.,210,0.11877223,IBS_N
Heater Dutycycle,210,0.028395822,IBS_N
Search Coil Magnetometer's Temperature,210,0.070312515,IBS_N
Solar Array's Angle,210,0.005136918,IBS_N
High Gain Antenna Azimuth,210,0.2902514,IBS_N
High Gain Antenna Elevation,210,0.13793772,IBS_N
Radial Distance from Sun,220,0.040809453,IBS_N
Electronic Box Temperature,220,0.2602964,IBS_N
Out Board Sensor Temperature,220,0.047142677,IBS_N
In Board Sensor Temperature,220,0.033167336,IBS_N
Out Board Sensor minus In Board Sensor Temp.,220,0.11155871,IBS_N
Heater Dutycycle,220,0.023945373,IBS_N
Search Coil Magnetometer's Temperature,220,0.07384502,IBS_N
Solar Array's Angle,220,0.0063529164,IBS_N
High Gain Antenna Azimuth,220,0.27712822,IBS_N
High Gain Antenna Elevation,220,0.1257539,IBS_N
Radial Distance from Sun,230,0.040798593,IBS_N
Electronic Box Temperature,230,0.27237338,IBS_N
Out Board Sensor Temperature,230,0.044092704,IBS_N
In Board Sensor Temperature,230,0.026706532,IBS_N
Out Board Sensor minus In Board Sensor Temp.,230,0.11284505,IBS_N
Heater Dutycycle,230,0.026146647,IBS_N
Search Coil Magnetometer's Temperature,230,0.07342367,IBS_N
Solar Array's Angle,230,0.0032227242,IBS_N
High Gain Antenna Azimuth,230,0.26557806,IBS_N
High Gain Antenna Elevation,230,0.13481273,IBS_N
Radial Distance from Sun,240,0.04127332,IBS_N
Electronic Box Temperature,240,0.24679688,IBS_N
Out Board Sensor Temperature,240,0.057253808,IBS_N
In Board Sensor Temperature,240,0.025930298,IBS_N
Out Board Sensor minus In Board Sensor Temp.,240,0.108795494,IBS_N
Heater Dutycycle,240,0.020841146,IBS_N
Search Coil Magnetometer's Temperature,240,0.07578108,IBS_N
High Gain Antenna Azimuth,240,0.27684364,IBS_N
High Gain Antenna Elevation,240,0.1265058,IBS_N
Radial Distance from Sun,250,0.04180609,IBS_N
Electronic Box Temperature,250,0.2372389,IBS_N
Out Board Sensor Temperature,250,0.053033933,IBS_N
In Board Sensor Temperature,250,0.023255127,IBS_N
Out Board Sensor minus In Board Sensor Temp.,250,0.09499838,IBS_N
Heater Dutycycle,250,0.028089691,IBS_N
Search Coil Magnetometer's Temperature,250,0.076030694,IBS_N
High Gain Antenna Azimuth,250,0.28601676,IBS_N
High Gain Antenna Elevation,250,0.13211213,IBS_N
Radial Distance from Sun,260,0.041085538,IBS_N
Electronic Box Temperature,260,0.22082135,IBS_N
Out Board Sensor Temperature,260,0.04213729,IBS_N
In Board Sensor Temperature,260,0.026339428,IBS_N
Out Board Sensor minus In Board Sensor Temp.,260,0.09944867,IBS_N
Heater Dutycycle,260,0.035397608,IBS_N
Search Coil Magnetometer's Temperature,260,0.06948112,IBS_N
Solar Array's Angle,260,0.010259402,IBS_N
High Gain Antenna Azimuth,260,0.32297722,IBS_N
High Gain Antenna Elevation,260,0.13205236,IBS_N
Radial Distance from Sun,270,0.0516348,IBS_N
Electronic Box Temperature,270,0.22916201,IBS_N
Out Board Sensor Temperature,270,0.03413385,IBS_N
In Board Sensor Temperature,270,0.032544218,IBS_N
Out Board Sensor minus In Board Sensor Temp.,270,0.10965625,IBS_N
Heater Dutycycle,270,0.040429402,IBS_N
Search Coil Magnetometer's Temperature,270,0.06227447,IBS_N
Solar Array's Angle,270,0.0049062995,IBS_N
High Gain Antenna Azimuth,270,0.30295002,IBS_N
High Gain Antenna Elevation,270,0.13230865,IBS_N
Radial Distance from Sun,280,0.044507056,IBS_N
Electronic Box Temperature,280,0.22128628,IBS_N
Out Board Sensor Temperature,280,0.04398833,IBS_N
In Board Sensor Temperature,280,0.034908645,IBS_N
Out Board Sensor minus In Board Sensor Temp.,280,0.10468893,IBS_N
Heater Dutycycle,280,0.029690921,IBS_N
Search Coil Magnetometer's Temperature,280,0.07737154,IBS_N
Solar Array's Angle,280,0.0062029148,IBS_N
High Gain Antenna Azimuth,280,0.30255386,IBS_N
High Gain Antenna Elevation,280,0.13480161,IBS_N
Radial Distance from Sun,290,0.04475469,IBS_N
Electronic Box Temperature,290,0.22915195,IBS_N
Out Board Sensor Temperature,290,0.052631594,IBS_N
In Board Sensor Temperature,290,0.04547438,IBS_N
Out Board Sensor minus In Board Sensor Temp.,290,0.104120925,IBS_N
Heater Dutycycle,290,0.022562636,IBS_N
Search Coil Magnetometer's Temperature,290,0.06816077,IBS_N
High Gain Antenna Azimuth,290,0.28483567,IBS_N
High Gain Antenna Elevation,290,0.122147545,IBS_N
Radial Distance from Sun,300,0.044420164,IBS_N
Electronic Box Temperature,300,0.2137898,IBS_N
Out Board Sensor Temperature,300,0.03734296,IBS_N
In Board Sensor Temperature,300,0.037608527,IBS_N
Out Board Sensor minus In Board Sensor Temp.,300,0.09137718,IBS_N
Heater Dutycycle,300,0.044632956,IBS_N
Search Coil Magnetometer's Temperature,300,0.06595492,IBS_N
High Gain Antenna Azimuth,300,0.3128382,IBS_N
